q_id,name,gnd,instance_of,birth,death,books_total,books_non_selfpub,books_selfpub,qualifies,confidence,requires_review,has_dewiki,publishers,sample_titles,wikidata_url,dewiki_url,swisscovery_search_url
Q132732138,Gustav Adolf Frey,1252782470,Mensch,1876-01-01,1962-01-01,6,6,0,True,gnd,False,False,[Buchdr. Landschäftler]; [Verlag nicht ermittelbar]; im Selbstverlag des Verfassers,"100 Jahre Saline Riburg 1848-1948 : und ihre aargauischen Schwestersalinen Kaiseraugst 1843-1846 und 1865-1909, Rheinfelden 1844-1942 : Gedenkschrift | 2 Briefe an die Fräuleins Baur u. Vogel mit Glückwunschgedicht an Rudolf Riggenbach | Brief an Dr. Walter Stampfli | Poetische Beigaben : Künstlerdialog | <<Der>> Rheinvogt : historisch-romantisches Schauspiel",https://www.wikidata.org/wiki/Q132732138,,"https://swisscovery.slsp.ch/discovery/search?query=any,contains,1252782470&tab=41SLSP_NETWORK_CI&vid=41SLSP_NETWORK:LIBRARYNETWORK"
Q133448415,Hans Rechsteiner,,Mensch,,,6,6,0,True,name-fuzzy,True,False,Bremgarter Neujahrsblätter; [Verlag nicht ermittelbar],"50 Jahre Kaserne Bremgarten | Alles neu macht der Mai | Alois Stutz, der ewig Rastlose | Brand der Stadtpfarrkirche St. Nikolaus am 23. März 1984 | Freudiges Schneeschaufeln : Mutschellen : Zivilschützer legen Gullys frei",https://www.wikidata.org/wiki/Q133448415,,"https://swisscovery.slsp.ch/discovery/search?query=creator,contains,Rechsteiner Hans&tab=41SLSP_NETWORK_CI&vid=41SLSP_NETWORK:LIBRARYNETWORK"
Q133019762,Hans Widmer,172450535,Mensch,1943-01-01,,6,6,0,True,gnd,False,False,Edition Odysseus; Odysseus,Heureka : Altgriechisch für Liebhaber mit einem kulturgeschichtlichen Überblick | Lebendige Antike | Lebendige Antike : Latein und antike Kultur für jedermann | Römische Welt : kleine illustrierte Kulturgeschichte | Römische Welt : kleine illustrierte Kulturgeschichte,https://www.wikidata.org/wiki/Q133019762,,"https://swisscovery.slsp.ch/discovery/search?query=any,contains,172450535&tab=41SLSP_NETWORK_CI&vid=41SLSP_NETWORK:LIBRARYNETWORK"
Q133566352,Hubert Spörri,1157134548,Mensch,,,6,6,0,True,gnd,False,False,Gönnervereinigung Widmer Zwyssig; Konzertchor Zürcher Unterland; Verlag der Gönnervereinigung Widmer Zwyssig; Verlag der Gönnervereinigung Widmer-Zwyssig; Verlag der Gönnervereinigung Widmer-Zwyssig Zürich; swiboo.ch,"175 Jahre Diligam te Domine, 50 Jahre Landeshymne : Katalog zur Ausstellung | Klosterfest : Randgeschichten zum Schweizerpsalm : ein historiographisches Lesebuch | Leonhard Widmer, P. A. Zwyssig und der Schweizerpsalm : zum 200. Geburtstag von Leonhard Widmer (1808-1868) und Pater Alberik Zwyssig (1808-1854) | Messe mit dem Schweizerpsalm : nach den Fragmenten von Benno Ammann und J.B. Hilber zu einer Missa Wettingensis | Missa Wettingensis : die Messe mit dem Schweizerpsalm : in honorem P.A. Zwyssig",https://www.wikidata.org/wiki/Q133566352,,"https://swisscovery.slsp.ch/discovery/search?query=any,contains,1157134548&tab=41SLSP_NETWORK_CI&vid=41SLSP_NETWORK:LIBRARYNETWORK"
Q133258521,Isaac Makhdoomi,1219003743,Mensch,1984-01-01,,6,6,0,True,gnd,False,False,Edition Tre Fontane; Heinrichshofen & Noetzel; Martin Korn Music Production; Prospero; [Verlag nicht ermittelbar],Catching Moments : Altblockflöte solo | Changing Moments | Concerti per flauto e Arie | Recorder concertos from Sanssouci | Sonata per flauto dolce : für Altblockflöte solo,https://www.wikidata.org/wiki/Q133258521,,"https://swisscovery.slsp.ch/discovery/search?query=any,contains,1219003743&tab=41SLSP_NETWORK_CI&vid=41SLSP_NETWORK:LIBRARYNETWORK"
Q133305424,Jona Ostfeld,120035707,Mensch,1951-01-01,,6,6,0,True,gnd,False,False,Bucher Verlag GmbH; Cosmos Verlag; Sauerländer,"Bei Tisch wird nicht gesprochen! ... und später schon gar nicht ... | Nenn mich nicht Grossmutter | <<Die>> Reise hinter die Wand : spinnige Spielszenen für phantasiebegabte Kinder und solche, die es wieder werden möchten | <<Der>> Seidenlaubenvogel : Episoden aus dem Leben von Hermann W. | Vater, du rauchst aber auch : Spielszenen und Anregungen zum Denken und Diskutieren",https://www.wikidata.org/wiki/Q133305424,,"https://swisscovery.slsp.ch/discovery/search?query=any,contains,120035707&tab=41SLSP_NETWORK_CI&vid=41SLSP_NETWORK:LIBRARYNETWORK"
Q85351920,Jürg Brühlmann,1176539108,Mensch,1956-07-19,,6,6,0,True,gnd,False,True,"Aargauer Tagblatt; Hochparterre; Museum für Gestaltung, Kunstgewerbemuseum; Rotten Verlag","Hans Coray - Künstler und Entwerfer | Heidi + Peter Wenger Architekten : = Heidi + Peter Wenger architectes | Read me mit Adrian Frutiger : durch die Welt der Zeichen und Buchstaben | Schmelztiegel der Buchstaben : Verpackungsdesign : die neue Schokolade von Lindt | Unteraargauisches Jahrhunderblatt : unabhängige Zeitung des Berner Aargaus : Zeytung oder Avis, Lenzburg, 1415-1848",https://www.wikidata.org/wiki/Q85351920,https://de.wikipedia.org/wiki/J%C3%BCrg_Br%C3%BChlmann,"https://swisscovery.slsp.ch/discovery/search?query=any,contains,1176539108&tab=41SLSP_NETWORK_CI&vid=41SLSP_NETWORK:LIBRARYNETWORK"
Q15429102,Kaspar Frey,141851406,Mensch,1460-01-01,1526-01-01,6,6,0,True,gnd,False,True,[Christoph Froschauer d. Ä.]; [Heinrich Steiner]; [Johann Knobloch]; [Philipp Ulhart]; durch den Ersamen Johannem Knoubloch,"Antwurte[n] so ain Burgermayster/ Radt/ vnnd der groß Radt/ die ma[n] nempt die zway hundert der Statt Zürich/ jren getrewen lieben Aydgnossen/ der aylf örtern vber etlich Artickel/ jnen/ inhalt ainer instruction für gehalte[n]/ geben habe[n] : Vnd beschehen ist/ auff den .21. tag des Monats Mertzen Anno. M.D.XXiiij. | Antwurten so ain Burgermaister, Radt un der gross rat, die man nempt die zway hundert der Stat Zürich, iren getrewen lieben Eydgnossen, der aylff Orten über etlich Artickel, inen, inhalt ainer instruction fürgehalten, gebn habent : Unnd beschehen ist, auff den xxj: tag des Monats Mertzen, Anno: [et]c: M:D:XXiiij | Brief an Ioachimus Vadianus | <<Ein>> Christenlich ansehen vnd ordnung von den Eersamen Burgermeister vnd Radt vnd dem grossen Radt der Statt Zürich/ ouch Propst vnd Capitel zum grossen münster daselbst/ von der priesterschafft vnd pfrůnden wegen ermessen vnd angenommen/ zů lob gottes vnd der seelen heyl : Jm M.D.XXIII. Jar. am 29. tag ersts Herbstes. | Von dem Anfang und Wesen der hailigen Statt Jerusalem ...",https://www.wikidata.org/wiki/Q15429102,https://de.wikipedia.org/wiki/Kaspar_Frey,"https://swisscovery.slsp.ch/discovery/search?query=any,contains,141851406&tab=41SLSP_NETWORK_CI&vid=41SLSP_NETWORK:LIBRARYNETWORK"
Q134100315,Marcel Lüscher,1084606976,Mensch,1971-01-01,,6,6,0,True,gnd,False,True,Edition Turicaphon; LU Records; Unit Records; [Maigold]; [Verlag nicht ermittelbar],Begehrlich | Frakmont | Make things happen | Make things happen | Permanentes,https://www.wikidata.org/wiki/Q134100315,https://de.wikipedia.org/wiki/Marcel_L%C3%BCscher,"https://swisscovery.slsp.ch/discovery/search?query=any,contains,1084606976&tab=41SLSP_NETWORK_CI&vid=41SLSP_NETWORK:LIBRARYNETWORK"
Q132564620,Marianne Erne,,Mensch,,,6,6,0,True,name-fuzzy,True,False,Arisverlag,"<<Der>> ""Chlapf"" ist leider nicht eingebaut : Lenzburger Geisseln | Bruno Mergozzi und Richard Simeon : sie sind Freunde fürs Leben | Kruttingen : e Dorfgschicht | Lenzburger Geissel : der ""Chlapf"" ist leider nicht eingebaut | <<Der>> Turmbau zu Lenzburg : 1975 wurde der Esterliturm eingeweiht",https://www.wikidata.org/wiki/Q132564620,,"https://swisscovery.slsp.ch/discovery/search?query=creator,contains,Erne Marianne&tab=41SLSP_NETWORK_CI&vid=41SLSP_NETWORK:LIBRARYNETWORK"
