q_id,label,given,family,gnd,instance_of,birth,death,dewiki_url,has_dewiki,wikidata_url
Q100871456,Beat Gloor,Beat,Gloor,138582815,Mensch,1959-07-27,2020-02-06,https://de.wikipedia.org/wiki/Beat_Gloor,True,https://www.wikidata.org/wiki/Q100871456
Q100937370,Petra Young-zie Barthelmess Röthlisberger,Petra,Barthelmess,132119749,Mensch,1968-01-01,,,False,https://www.wikidata.org/wiki/Q100937370
Q102159116,Karl Matter,Karl,Matter,1060405423,Mensch,1874-01-01,1957-01-01,,False,https://www.wikidata.org/wiki/Q102159116
Q102225759,Thomas Fehlmann,Thomas,Fehlmann,130341061,Mensch,,,,False,https://www.wikidata.org/wiki/Q102225759
Q1022329,Christoph Baumann,Christoph,Baumann,135574773,Mensch,1954-06-26,,https://de.wikipedia.org/wiki/Christoph_Baumann_(Musiker),True,https://www.wikidata.org/wiki/Q1022329
Q102357490,Sensu,Jasmin,Peterhans,,Mensch,2000-01-01,,https://de.wikipedia.org/wiki/Sensu_(Musikerin),True,https://www.wikidata.org/wiki/Q102357490
Q102370055,Werner Gautschi,Werner,Gautschi,126011109,Mensch,1927-01-01,,,False,https://www.wikidata.org/wiki/Q102370055
Q104145172,Peter Grünenfelder,Peter,Grünenfelder,128352639,Mensch,1967-01-01,,,False,https://www.wikidata.org/wiki/Q104145172
Q104525172,Dino Brandão,Dino,,,Mensch,2000-01-01,,https://de.wikipedia.org/wiki/Dino_Brand%C3%A3o,True,https://www.wikidata.org/wiki/Q104525172
Q1046713,Casal-Quartett,,,10201410-3,Musikgruppe / Streichquartett,,,https://de.wikipedia.org/wiki/Casal-Quartett,True,https://www.wikidata.org/wiki/Q1046713
Q105428,Johann Heinrich Pestalozzi,Johann,Pestalozzi,118592912,Mensch,1746-01-12,1827-02-17,https://de.wikipedia.org/wiki/Johann_Heinrich_Pestalozzi,True,https://www.wikidata.org/wiki/Q105428
Q106013783,Karl Weber,Karl,Weber,143613669,Mensch,1936-09-02,,,False,https://www.wikidata.org/wiki/Q106013783
Q106147418,Emmy Henz-Diémand,Emmy,,1089757905,Mensch,1937-10-14,2017-04-01,https://de.wikipedia.org/wiki/Emmy_Henz-Di%C3%A9mand,True,https://www.wikidata.org/wiki/Q106147418
Q106254804,Hans Ulrich Reifler,Hans,Reifler,123795664,Mensch,1949-10-16,,https://de.wikipedia.org/wiki/Hans_Ulrich_Reifler,True,https://www.wikidata.org/wiki/Q106254804
Q106303704,Thomas Pfisterer,Thomas,Pfisterer,1089931530,Mensch,1941-05-07,,https://de.wikipedia.org/wiki/Thomas_Pfisterer,True,https://www.wikidata.org/wiki/Q106303704
Q106426605,Stephan Rey,Stephan,Rey,1228825807,Mensch,1968-06-01,,,False,https://www.wikidata.org/wiki/Q106426605
Q106575,Ingo Potrykus,Ingo,Potrykus,172321093,Mensch,1933-12-05,,https://de.wikipedia.org/wiki/Ingo_Potrykus,True,https://www.wikidata.org/wiki/Q106575
Q107062974,Gerhard Neidhöfer,Gerhard,,1089124015,Mensch,1931-01-01,2021-11-18,https://de.wikipedia.org/wiki/Gerhard_Neidh%C3%B6fer,True,https://www.wikidata.org/wiki/Q107062974
Q107305174,Maria Luisa Cantos,Maria Luisa,Cantos,134343093,Mensch,1943-01-01,,,False,https://www.wikidata.org/wiki/Q107305174
Q107314323,Lukas Maisel,Lukas,Maisel,1216520461,Mensch,1987-01-01,,https://de.wikipedia.org/wiki/Lukas_Maisel,True,https://www.wikidata.org/wiki/Q107314323
Q107635975,Rosmarie Baltensweiler,,,1196829659,Mensch,1927-01-01,2020-04-10,https://de.wikipedia.org/wiki/Rosmarie_Baltensweiler,True,https://www.wikidata.org/wiki/Q107635975
Q1080123,Christian Haller,Christian,Haller,122237153,Mensch,1943-02-28,,https://de.wikipedia.org/wiki/Christian_Haller_(Schriftsteller),True,https://www.wikidata.org/wiki/Q1080123
Q108321502,Paolo Bianchi,Paolo,Bianchi,115762817,Mensch,1960-01-01,,,False,https://www.wikidata.org/wiki/Q108321502
Q1083408,Christine Aufderhaar,Christine,,135517745,Mensch,1972-02-18,,https://de.wikipedia.org/wiki/Christine_Aufderhaar,True,https://www.wikidata.org/wiki/Q1083408
Q1083755,Christine Rinderknecht,Christine,Rinderknecht,12357367X,Mensch,1954-12-05,,https://de.wikipedia.org/wiki/Christine_Rinderknecht,True,https://www.wikidata.org/wiki/Q1083755
Q108478092,Doris Schmid,Doris,Schmid,1089381905,Mensch,1968-04-04,,,False,https://www.wikidata.org/wiki/Q108478092
Q1084957,Christoph Gallio,Christoph,Gallio,13923389X,Mensch,1957-03-21,,https://de.wikipedia.org/wiki/Christoph_Gallio,True,https://www.wikidata.org/wiki/Q1084957
Q108697784,Ulf Bossel,Ulf,Bossel,174098618,Mensch,1936-04-24,2025-08-31,https://de.wikipedia.org/wiki/Ulf_Bossel,True,https://www.wikidata.org/wiki/Q108697784
Q108730361,Fabienne Hoerni,Fabienne,,,Mensch,1974-12-25,,https://de.wikipedia.org/wiki/Fabienne_Hoerni,True,https://www.wikidata.org/wiki/Q108730361
Q108761933,Andreas Zünd,Andreas,Zünd,1211432106,Mensch,1957-02-08,,https://de.wikipedia.org/wiki/Andreas_Z%C3%BCnd,True,https://www.wikidata.org/wiki/Q108761933
Q108811562,Inge Dahm,Inge,Dahm,1358745374,Mensch,1920-01-01,2002-01-01,,False,https://www.wikidata.org/wiki/Q108811562
Q109375311,Norbert Lang,Norbert,,124797792,Mensch,1934-10-10,,https://de.wikipedia.org/wiki/Norbert_Lang_(Ingenieur),True,https://www.wikidata.org/wiki/Q109375311
Q1097819,Claudia Storz,Claudia,Storz,131729039,Mensch,1948-06-13,,https://de.wikipedia.org/wiki/Claudia_Storz,True,https://www.wikidata.org/wiki/Q1097819
Q110018905,Benjamin von Wyl,Benjamin,von Wyl,1079183841,Mensch,1990-01-01,,https://de.wikipedia.org/wiki/Benjamin_von_Wyl,True,https://www.wikidata.org/wiki/Q110018905
Q110221856,Annelise Zwez,Annelise,,121567192,Mensch,1947-11-07,,https://de.wikipedia.org/wiki/Annelise_Zwez,True,https://www.wikidata.org/wiki/Q110221856
Q1104106,Co Streiff,Co,Streiff,134943651,Mensch,1959-04-05,,https://de.wikipedia.org/wiki/Co_Streiff,True,https://www.wikidata.org/wiki/Q1104106
Q110493758,Josef Lang,Josef,,1045783382,Mensch,1879-03-27,1946-05-13,https://de.wikipedia.org/wiki/Josef_Lang_(Filmproduzent),True,https://www.wikidata.org/wiki/Q110493758
Q110647394,Kathrin Schmidlin,Kathrin,Schmidlin,1243764287,Mensch,1990-01-01,,https://de.wikipedia.org/wiki/Kathrin_Schmidlin,True,https://www.wikidata.org/wiki/Q110647394
Q110895573,Lorenz Andreas Wüthrich,Lorenz,,1140507710,Mensch,1981-01-01,,,False,https://www.wikidata.org/wiki/Q110895573
Q111236870,Ernst Zimmerli,Ernst,Zimmerli,1055287795,Mensch,1908-07-21,1975-03-17,https://de.wikipedia.org/wiki/Ernst_Zimmerli,True,https://www.wikidata.org/wiki/Q111236870
Q111248873,Elisabeth Kübler,Elisabeth,Kübler,1252405456,Mensch,1931-07-04,,https://de.wikipedia.org/wiki/Elisabeth_K%C3%BCbler,True,https://www.wikidata.org/wiki/Q111248873
Q111671615,Otto Müller,Otto,Müller,123117526,Mensch,1905-01-01,1995-01-01,,False,https://www.wikidata.org/wiki/Q111671615
Q112352535,Aurelius Belz,Thomas,Belz,120434717,Mensch,1959-01-01,,,False,https://www.wikidata.org/wiki/Q112352535
Q112354036,Adolf Fuchs,Adolf,Fuchs,1299411118,Mensch,1924-05-23,2020-06-06,,False,https://www.wikidata.org/wiki/Q112354036
Q112360191,Mieczyslaw Taube,Mieczyslaw,Taube,108078132,Mensch,1918-01-01,2009-01-01,,False,https://www.wikidata.org/wiki/Q112360191
Q112369110,Uwe F. W. Bauer,Uwe,Bauer,115797785,Mensch,1956-01-01,,,False,https://www.wikidata.org/wiki/Q112369110
Q112379484,Hans Fiechter,Paul,Fiechter,172085942,Mensch,1947-01-01,,,False,https://www.wikidata.org/wiki/Q112379484
Q112383108,Josef Breuss,Josef,Breuss,1122652445,Mensch,1938-01-01,,,False,https://www.wikidata.org/wiki/Q112383108
Q112408472,Thomas Marent,Thomas,,131997300,Mensch,1966-01-01,,,False,https://www.wikidata.org/wiki/Q112408472
Q112409116,Renate Lauper,Renate,Lauper,123687101,Mensch,1954-01-01,,,False,https://www.wikidata.org/wiki/Q112409116
Q112415196,Kurt Meier,Kurt,Meier,123622565,Mensch,1953-01-01,,,False,https://www.wikidata.org/wiki/Q112415196
Q112422599,Beat Rütti,Beat,,,Mensch,1953-01-01,,,False,https://www.wikidata.org/wiki/Q112422599
Q112424860,Bruno Meier,Bruno,Meier,134609131,Mensch,1949-01-01,,,False,https://www.wikidata.org/wiki/Q112424860
Q112433286,Hans Jörg Leu,Hans,Leu,120686015,Mensch,1926-01-01,2023-05-03,,False,https://www.wikidata.org/wiki/Q112433286
Q112463783,Andreas Hunziker,Andreas,Hunziker,135634202,Mensch,1968-01-01,,,False,https://www.wikidata.org/wiki/Q112463783
Q112476377,János Moser,Janos,Moser,1034792857,Mensch,1989-01-01,,https://de.wikipedia.org/wiki/J%C3%A1nos_Moser,True,https://www.wikidata.org/wiki/Q112476377
Q112476563,Thomas Doppler,Thomas,Doppler,143996576,Mensch,1941-01-01,,,False,https://www.wikidata.org/wiki/Q112476563
Q112490251,Stephan Kunz,Stephan,Kunz,130535850,Mensch,1962-01-01,,,False,https://www.wikidata.org/wiki/Q112490251
Q112491426,Roger Kaysel,Roger,,1043230580,Mensch,1938-10-31,,,False,https://www.wikidata.org/wiki/Q112491426
Q112494593,Arthur Brühlmeier,Arthur,Brühlmeier,110693906,Mensch,1934-01-01,,,False,https://www.wikidata.org/wiki/Q112494593
Q112522307,Andrey Fedorchenko,Andrej,Fedortschenko,133858200,Mensch,1956-01-01,,,False,https://www.wikidata.org/wiki/Q112522307
Q112531116,Alfred Bühler,Alfred,Bühler,120639890,Mensch,1943-01-01,2024-02-01,,False,https://www.wikidata.org/wiki/Q112531116
Q112535101,Joel László,Joel,László,1138052663,Mensch,1982-01-01,,,False,https://www.wikidata.org/wiki/Q112535101
Q112556615,Christoph Schneeberger,Christoph,Schneeberger,1219931055,Mensch,1976-01-01,,,False,https://www.wikidata.org/wiki/Q112556615
Q112560414,Pascale Marder,Pascale,Marder,1167013840,Mensch,1977-01-01,,,False,https://www.wikidata.org/wiki/Q112560414
Q112687424,Heinz Goetschy,Heinz,Goetschy,133563073,Mensch,1942-08-08,2012-11-03,,False,https://www.wikidata.org/wiki/Q112687424
Q112687537,Hermann Muntwyler,Hermann,,1082253774,Mensch,1898-09-16,1984-03-16,,False,https://www.wikidata.org/wiki/Q112687537
Q112687541,Jürg Nänni,,,119101289,Mensch,1942-05-09,2019-01-28,https://de.wikipedia.org/wiki/J%C3%BCrg_N%C3%A4nni,True,https://www.wikidata.org/wiki/Q112687541
Q112687609,Karl Rudolf Schwarb,Rudolf,,1077890877,Mensch,1914-08-26,1999-04-17,,False,https://www.wikidata.org/wiki/Q112687609
Q112768770,Marcel Paa,Marcel,Paa,1173426612,Mensch,1985-01-30,,https://de.wikipedia.org/wiki/Marcel_Paa,True,https://www.wikidata.org/wiki/Q112768770
Q113399014,Riccardo Bonfranchi,Riccardo,,115573801,Mensch,1950-01-01,,,False,https://www.wikidata.org/wiki/Q113399014
Q113399813,Josef Hochstrasser,Josef,Hochstrasser,118920995,Mensch,1947-01-01,,,False,https://www.wikidata.org/wiki/Q113399813
Q113400307,Werner Laubi,Werner,Laubi,120173735,Mensch,1935-01-01,,,False,https://www.wikidata.org/wiki/Q113400307
Q113494465,Hugo Werner Doppler,Hugo,Doppler,1276990472,Mensch,1942-07-26,,https://de.wikipedia.org/wiki/Hugo_W._Doppler,True,https://www.wikidata.org/wiki/Q113494465
Q113585915,Walther Zschokke,Walther,Zschokke,1047832356,Mensch,1870-01-01,1951-01-01,https://de.wikipedia.org/wiki/Walther_Zschokke,True,https://www.wikidata.org/wiki/Q113585915
Q113716673,Werner van Gent,Werner,Gent,122629795,Mensch,1953-01-01,,https://de.wikipedia.org/wiki/Werner_van_Gent,True,https://www.wikidata.org/wiki/Q113716673
Q113717675,Tobias Nünlist,Tobias,Nünlist,124146503,Mensch,1963-01-01,,,False,https://www.wikidata.org/wiki/Q113717675
Q113717866,Hans Ulrich Hauenstein,Hans-Ulrich,Hauenstein,124363210,Mensch,1959-01-01,,,False,https://www.wikidata.org/wiki/Q113717866
Q113725262,Michael Merker,Michael,Merker,1146081979,Mensch,1959-01-01,,,False,https://www.wikidata.org/wiki/Q113725262
Q113753829,Urs Pilgrim,Urs,Pilgrim,1212686543,Mensch,1945-01-01,,,False,https://www.wikidata.org/wiki/Q113753829
Q113760885,Melanie Keusch,Melanie,Keusch,1233222236,Mensch,1988-01-01,,,False,https://www.wikidata.org/wiki/Q113760885
Q113760947,Angela Bhend,Angela,Bhend,1233993186,Mensch,,,,False,https://www.wikidata.org/wiki/Q113760947
Q113762132,Loïc Bawidamann,Loïc,,1249166454,Mensch,,,,False,https://www.wikidata.org/wiki/Q113762132
Q113762149,Karin Klemm,Karin,Klemm,1249801036,Mensch,1964-01-01,,,False,https://www.wikidata.org/wiki/Q113762149
Q113762485,Patrick Zehnder,Patrick,Zehnder,124470858,Mensch,1967-01-01,,,False,https://www.wikidata.org/wiki/Q113762485
Q113769063,Henry Sturcke,Henry,,130254738,Mensch,1948-01-01,,,False,https://www.wikidata.org/wiki/Q113769063
Q113773881,Barbara Richner,Barbara,Richner,123420040,Mensch,,,,False,https://www.wikidata.org/wiki/Q113773881
Q113773937,Peter Zürn,Peter,Zürn,132531941,Mensch,1964-01-01,,,False,https://www.wikidata.org/wiki/Q113773937
Q113778808,Rainer Stöckli,Rainer,Stöckli,138510946,Mensch,1943-01-01,,,False,https://www.wikidata.org/wiki/Q113778808
Q113779918,Mo Richner,Mo,Richner,140106499,Mensch,1960-01-01,,,False,https://www.wikidata.org/wiki/Q113779918
Q113780100,Bernhard Hangartner,Bernhard,Hangartner,11420831X,Mensch,1956-01-01,,,False,https://www.wikidata.org/wiki/Q113780100
Q113780915,Hanns Walter Huppenbauer,Walter,,112073204,Mensch,1930-01-01,2018-10-31,,False,https://www.wikidata.org/wiki/Q113780915
Q113783833,Christina Caprez,Christina,Caprez,1020067772,Mensch,1977-01-01,,,False,https://www.wikidata.org/wiki/Q113783833
Q113824452,Tanja Sczuka,,,106100273X,Mensch,,,,False,https://www.wikidata.org/wiki/Q113824452
Q113837056,Urs Dahinden,Urs,Dahinden,1089086539,Mensch,,,,False,https://www.wikidata.org/wiki/Q113837056
Q113841735,Diemuth Königs,Diemuth,Königs,1110912218,Mensch,,,,False,https://www.wikidata.org/wiki/Q113841735
Q113844164,Esther Berner,Esther,Berner,1123650292,Mensch,,,,False,https://www.wikidata.org/wiki/Q113844164
Q113845150,Alfred Hidber,Alfred,,1129881695,Mensch,1943-01-01,,,False,https://www.wikidata.org/wiki/Q113845150
Q113846464,Cornelia Künzle,Cornelia,Künzle,1137962844,Mensch,1980-01-01,,,False,https://www.wikidata.org/wiki/Q113846464
Q114350389,Cédric Eisenring,Cédric,Eisenring,1089594836,Mensch,1983-01-01,,,False,https://www.wikidata.org/wiki/Q114350389
Q114838149,Peter Hossli,Peter,,116840648X,Mensch,1969-01-01,,,False,https://www.wikidata.org/wiki/Q114838149
Q115142163,Jakob Hilfiker,Jakob,Hilfiker,1055296778,Mensch,1851-10-31,1913-06-04,https://de.wikipedia.org/wiki/Jakob_Hilfiker,True,https://www.wikidata.org/wiki/Q115142163
Q115556329,Marilin Brun,Marilin,Brun,1255213515,Mensch,1982-08-06,,,False,https://www.wikidata.org/wiki/Q115556329
Q115556469,Nici Jost,,Jost,1089590296,Mensch,1984-07-20,,,False,https://www.wikidata.org/wiki/Q115556469
Q115556477,Stefanie Knobel,Stefanie,Knobel,1239384971,Mensch,1983-07-06,,,False,https://www.wikidata.org/wiki/Q115556477
Q115556582,Ann Nelson,,Nelson,1027969240,Mensch,1960-07-17,,,False,https://www.wikidata.org/wiki/Q115556582
Q115743,Matthias A. K. Zimmermann,Matthias,Zimmermann,142433209,Mensch,1981-05-06,,https://de.wikipedia.org/wiki/Matthias_A._K._Zimmermann,True,https://www.wikidata.org/wiki/Q115743
Q115774323,Josef Stübi,Josef,,,Mensch,1961-03-26,,https://de.wikipedia.org/wiki/Josef_St%C3%BCbi,True,https://www.wikidata.org/wiki/Q115774323
Q115846,Urs Meier,Urs,Meier,134169514,Mensch,1959-01-22,,https://de.wikipedia.org/wiki/Urs_Meier_(Schiedsrichter),True,https://www.wikidata.org/wiki/Q115846
Q115878,Johann Georg von Zimmermann,Johann,von Zimmermann,118636979,Mensch,1728-12-08,1795-10-07,https://de.wikipedia.org/wiki/Johann_Georg_Zimmermann_(Mediziner),True,https://www.wikidata.org/wiki/Q115878
Q115944,Karl Moser,Karl,Moser,118584413,Mensch,1860-08-10,1936-02-28,https://de.wikipedia.org/wiki/Karl_Moser_(Architekt),True,https://www.wikidata.org/wiki/Q115944
Q115992,Abraham Emanuel Fröhlich,Abraham,Fröhlich,116830069,Mensch,1796-02-01,1865-12-01,https://de.wikipedia.org/wiki/Abraham_Emanuel_Fr%C3%B6hlich,True,https://www.wikidata.org/wiki/Q115992
Q1160866,Daniel Goetsch,Daniel,,122609689,Mensch,1968-09-20,,https://de.wikipedia.org/wiki/Daniel_Goetsch,True,https://www.wikidata.org/wiki/Q1160866
Q116096,Otto Sutermeister,Otto,Sutermeister,117382477,Mensch,1832-09-27,1901-08-18,https://de.wikipedia.org/wiki/Otto_Sutermeister,True,https://www.wikidata.org/wiki/Q116096
Q116121,Silvio Blatter,Silvio,Blatter,116200626,Mensch,1946-01-25,,https://de.wikipedia.org/wiki/Silvio_Blatter,True,https://www.wikidata.org/wiki/Q116121
Q116166004,Stephan Brülhart,Stephan,Brülhart,119464322,Mensch,1953-01-01,,,False,https://www.wikidata.org/wiki/Q116166004
Q116268,Johannes Aal,Johannes,Aal,118500015,Mensch,1500-01-01,1551-05-28,https://de.wikipedia.org/wiki/Johannes_Aal,True,https://www.wikidata.org/wiki/Q116268
Q116450,Silja Walter,Silja,Walter,118628941,Mensch,1919-04-23,2011-01-31,https://de.wikipedia.org/wiki/Silja_Walter,True,https://www.wikidata.org/wiki/Q116450
Q116872099,Gertrud Häseli,Gertrud,,,Mensch,1963-02-10,,https://de.wikipedia.org/wiki/Gertrud_H%C3%A4seli,True,https://www.wikidata.org/wiki/Q116872099
Q116957,Emil Welti,Emil,Welti,118766767,Mensch,1825-04-23,1899-02-24,https://de.wikipedia.org/wiki/Emil_Welti,True,https://www.wikidata.org/wiki/Q116957
Q117025323,Hermanos Gutiérrez,,,1334086788,Musikgruppe,,,https://de.wikipedia.org/wiki/Hermanos_Guti%C3%A9rrez,True,https://www.wikidata.org/wiki/Q117025323
Q117616,Hans Boesch,Hans,Boesch,118660845,Mensch,1926-03-13,2003-06-21,https://de.wikipedia.org/wiki/Hans_Boesch_(Schriftsteller),True,https://www.wikidata.org/wiki/Q117616
Q117839,Matthias Zschokke,Matthias,Zschokke,121450031,Mensch,1954-10-29,,https://de.wikipedia.org/wiki/Matthias_Zschokke,True,https://www.wikidata.org/wiki/Q117839
Q117999,Augustin Keller,Augustin,Keller,118721593,Mensch,1805-11-10,1883-01-08,https://de.wikipedia.org/wiki/Augustin_Keller_(Politiker),True,https://www.wikidata.org/wiki/Q117999
Q118918,Ernst Laur,Ernst,,119202220,Mensch,1871-03-27,1964-05-30,https://de.wikipedia.org/wiki/Ernst_Laur,True,https://www.wikidata.org/wiki/Q118918
Q118935,Jakob Frey,Jakob,Frey,131405330,Mensch,1824-05-13,1875-12-30,https://de.wikipedia.org/wiki/Jakob_Frey,True,https://www.wikidata.org/wiki/Q118935
Q119171,Roland Brogli,Roland,Brogli,,Mensch,1951-06-11,2017-06-12,https://de.wikipedia.org/wiki/Roland_Brogli,True,https://www.wikidata.org/wiki/Q119171
Q119404300,Urs Stäuble,Urs,Stäuble,1038064759,Mensch,1951-07-17,,https://de.wikipedia.org/wiki/Urs_St%C3%A4uble,True,https://www.wikidata.org/wiki/Q119404300
Q119481199,Alexander Estis,Alexander,Estis,1073678822,Mensch,1986-09-20,,https://de.wikipedia.org/wiki/Alexander_Estis,True,https://www.wikidata.org/wiki/Q119481199
Q119481841,Martin Geisenhainer,Martin,,140322639,Mensch,1964-02-17,,,False,https://www.wikidata.org/wiki/Q119481841
Q119495604,Rolf Dorner,Rolf,Dorner,111755328,Mensch,1939-03-23,,,False,https://www.wikidata.org/wiki/Q119495604
Q119521,Josef Villiger,Josef,Villiger,1059369680,Mensch,1910-03-17,1992-05-06,https://de.wikipedia.org/wiki/Josef_Villiger,True,https://www.wikidata.org/wiki/Q119521
Q119587,Robert Mächler,Robert,Mächler,118576046,Mensch,1909-12-24,1996-02-15,https://de.wikipedia.org/wiki/Robert_M%C3%A4chler,True,https://www.wikidata.org/wiki/Q119587
Q120184,Eugen Bircher,Eugen,Bircher,118838822,Mensch,1882-02-17,1956-10-20,https://de.wikipedia.org/wiki/Eugen_Bircher,True,https://www.wikidata.org/wiki/Q120184
Q120281,Martin R. Dean,Martin,Dean,120268345,Mensch,1955-07-17,,https://de.wikipedia.org/wiki/Martin_R._Dean,True,https://www.wikidata.org/wiki/Q120281
Q120400,Hansjörg Schneider,Hansjörg,Schneider,122077334,Mensch,1938-03-27,,https://de.wikipedia.org/wiki/Hansj%C3%B6rg_Schneider_(Dramatiker),True,https://www.wikidata.org/wiki/Q120400
Q120438,Urs Bitterli,Urs,Bitterli,121083942,Mensch,1935-11-28,2021-04-21,https://de.wikipedia.org/wiki/Urs_Bitterli,True,https://www.wikidata.org/wiki/Q120438
Q120983599,Marcel Huwyler,Marcel,,1195792832,Mensch,1968-01-01,,https://de.wikipedia.org/wiki/Marcel_Huwyler,True,https://www.wikidata.org/wiki/Q120983599
Q121289,Jean Rudolf von Salis,Rodolphe,Salis,118605062,Mensch,1901-12-12,1996-07-14,https://de.wikipedia.org/wiki/Jean_Rudolf_von_Salis,True,https://www.wikidata.org/wiki/Q121289
Q121324,Guido A. Zäch,A.,Zäch,111740401,Mensch,1935-10-01,2026-02-16,https://de.wikipedia.org/wiki/Guido_A._Z%C3%A4ch,True,https://www.wikidata.org/wiki/Q121324
Q121467,Pirmin Meier,Pirmin,Meier,121207676,Mensch,1947-02-21,,https://de.wikipedia.org/wiki/Pirmin_Meier,True,https://www.wikidata.org/wiki/Q121467
Q121728,Karl Ballmer,Karl,Ballmer,118652141,Mensch,1891-02-23,1958-09-07,https://de.wikipedia.org/wiki/Karl_Ballmer,True,https://www.wikidata.org/wiki/Q121728
Q1221578,Dieter Ammann,Dieter,Ammann,142399019,Mensch,1962-05-17,,https://de.wikipedia.org/wiki/Dieter_Ammann,True,https://www.wikidata.org/wiki/Q1221578
Q122337892,Hans E. Walty,Hans,Walty,1246931834,Mensch,1868-10-24,1948-01-21,https://de.wikipedia.org/wiki/Hans_E._Walty,True,https://www.wikidata.org/wiki/Q122337892
Q122338,Albert Hofmann,Albert,Hofmann,119138034,Mensch,1906-01-11,2008-04-29,https://de.wikipedia.org/wiki/Albert_Hofmann,True,https://www.wikidata.org/wiki/Q122338
Q122477,Seven,Jan,Seven,1025881184,Mensch,1978-10-18,,https://de.wikipedia.org/wiki/Seven_(S%C3%A4nger),True,https://www.wikidata.org/wiki/Q122477
Q122760,Charles Tschopp,Charles,Tschopp,1116565765,Mensch,1899-06-07,1982-05-29,https://de.wikipedia.org/wiki/Charles_Tschopp,True,https://www.wikidata.org/wiki/Q122760
Q123127,Klaus Merz,Klaus,Merz,118031198,Mensch,1945-10-03,,https://de.wikipedia.org/wiki/Klaus_Merz,True,https://www.wikidata.org/wiki/Q123127
Q123394,Markus Hediger,Markus,Hediger,112792979,Mensch,1959-03-31,,https://de.wikipedia.org/wiki/Markus_Hediger,True,https://www.wikidata.org/wiki/Q123394
Q123494,Kurt Marti,Kurt,Marti,118578251,Mensch,1921-01-31,2017-02-11,https://de.wikipedia.org/wiki/Kurt_Marti,True,https://www.wikidata.org/wiki/Q123494
Q123681264,Thomas Pauli-Gabi,Thomas,Gabi,1216200238,Mensch,1966-01-01,,https://de.wikipedia.org/wiki/Thomas_Pauli-Gabi,True,https://www.wikidata.org/wiki/Q123681264
Q123925,Maximilian Oskar Bircher-Benner,Max,Benner,118663348,Mensch,1867-08-22,1939-01-24,https://de.wikipedia.org/wiki/Max_Bircher-Benner,True,https://www.wikidata.org/wiki/Q123925
Q124151,Adolf Frey,Adolf,Frey,116782544,Mensch,1855-02-18,1920-02-12,https://de.wikipedia.org/wiki/Adolf_Frey,True,https://www.wikidata.org/wiki/Q124151
Q124325,Emil Zschokke,Emil,Zschokke,139879277,Mensch,1808-06-05,1889-03-10,https://de.wikipedia.org/wiki/Emil_Zschokke,True,https://www.wikidata.org/wiki/Q124325
Q124372,Hermann Burger,Hermann,Burger,118517600,Mensch,1942-07-10,1989-02-28,https://de.wikipedia.org/wiki/Hermann_Burger,True,https://www.wikidata.org/wiki/Q124372
Q124471757,Simone Walther,Simone,Walther,1081427175,Mensch,1985-01-01,,,False,https://www.wikidata.org/wiki/Q124471757
Q124500,Urs Faes,Urs,Faes,115655077,Mensch,1947-02-13,,https://de.wikipedia.org/wiki/Urs_Faes,True,https://www.wikidata.org/wiki/Q124500
Q124519,Erika Burkart,Erika,Burkart,118517694,Mensch,1922-02-08,2010-04-14,https://de.wikipedia.org/wiki/Erika_Burkart,True,https://www.wikidata.org/wiki/Q124519
Q124525,Max Bolliger,Max,Bolliger,116236523,Mensch,1929-04-23,2013-02-10,https://de.wikipedia.org/wiki/Max_Bolliger,True,https://www.wikidata.org/wiki/Q124525
Q124552072,Olivier Borgeaud,Olivier,Borgeaud,1322774218,Mensch,1965-01-01,,,False,https://www.wikidata.org/wiki/Q124552072
Q124615,Dieter Bachmann,Dieter,Bachmann,120059541,Mensch,1940-12-17,,https://de.wikipedia.org/wiki/Dieter_Bachmann,True,https://www.wikidata.org/wiki/Q124615
Q1246314,Roger Lille,Roger,Lille,1043582576,Mensch,1956-08-17,2014-06-10,https://de.wikipedia.org/wiki/Roger_Lille,True,https://www.wikidata.org/wiki/Q1246314
Q124654,Kuno Raeber,Kuno,Raeber,119037475,Mensch,1922-05-20,1992-01-28,https://de.wikipedia.org/wiki/Kuno_Raeber,True,https://www.wikidata.org/wiki/Q124654
Q124679960,Andreas Schlegel,Andreas,Schlegel,132873397,Mensch,1962-01-01,,,False,https://www.wikidata.org/wiki/Q124679960
Q124847686,Chris Leemann,Chris,Leemann,1119903246,Mensch,1953-01-01,,,False,https://www.wikidata.org/wiki/Q124847686
Q124849392,Sabine Altorfer,Sabine,Altorfer,121885488,Mensch,1956-01-01,,,False,https://www.wikidata.org/wiki/Q124849392
Q124850606,Otto Scherer,Otto,Scherer,130112046,Mensch,1939-01-01,2012-01-01,,False,https://www.wikidata.org/wiki/Q124850606
Q124854990,Lukas Zumsteg,Lukas,Zumsteg,140316485,Mensch,1964-01-01,,,False,https://www.wikidata.org/wiki/Q124854990
Q124862347,Robert Bamert,Robert,Bamert,1163488135,Mensch,1939-01-01,,,False,https://www.wikidata.org/wiki/Q124862347
Q125005,Liliane Juchli,Liliane,,12002716X,Mensch,1933-10-19,2020-11-30,https://de.wikipedia.org/wiki/Liliane_Juchli,True,https://www.wikidata.org/wiki/Q125005
Q125037267,Peter Deucher,Peter,Deucher,,Mensch,1914-01-01,1965-01-01,,False,https://www.wikidata.org/wiki/Q125037267
