q_id,label,given,family,gnd,instance_of,birth,death,dewiki_url,has_dewiki,wikidata_url
Q134475015,Werner Vogt,Werner,Vogt,130390372,Mensch,1960-01-01,,,False,https://www.wikidata.org/wiki/Q134475015
Q134475016,Frieda Vogt-Baumann,Frieda,Vogt,1209715953,Mensch,1945-04-28,2014-02-24,,False,https://www.wikidata.org/wiki/Q134475016
Q134475017,Hans Vögtlin,Hans,Vögtlin,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134475017
Q134475018,Jürg Vollmar,Jürg,Vollmar,170368750,Mensch,,,,False,https://www.wikidata.org/wiki/Q134475018
Q134475019,Susanne von Allmen,Susanne,Von Allmen,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134475019
Q134475020,Andreas von Gunten,Andreas,von Gunten,1143266749,Mensch,1968-01-01,,,False,https://www.wikidata.org/wiki/Q134475020
Q134475021,Rolf von Moos,Rolf,von Moos,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134475021
Q134475022,Elisabeth Vonder Mühll,Elisabeth,Vonder Mühll,130158933,Mensch,,,,False,https://www.wikidata.org/wiki/Q134475022
Q134475023,Luise Vonroth,Luise,von Roth,106002912X,Mensch,1971-01-01,,,False,https://www.wikidata.org/wiki/Q134475023
Q134475024,Silvia Voser,Silvia,Voser,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134475024
Q134475025,Jiri Vurma,Jiri,,174351178,Mensch,1946-01-01,,,False,https://www.wikidata.org/wiki/Q134475025
Q134476589,Peter Waber,Peter,Waber,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476589
Q134476590,Paul Wacker,Paul,Wacker,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476590
Q134476591,Britta Wackernagel,Britta,Wackernagel,124816053,Mensch,1961-01-01,,,False,https://www.wikidata.org/wiki/Q134476591
Q134476592,Anton Wagner,Anton,Wagner,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134476592
